Genes	Log2FC	padj	volcano
COX7B2	-4.50150230525946	2.90974675545007E-07	-29.4224709180417
PAGE4	-4.39565888807683	1.57277719078455E-06	-25.5094713932313
XAGE1D	-4.05130453247945	0.000141931922202	-15.5890953942324
ABCG8	-3.13267097571443	4.31097502335528E-07	-19.9407805583433
AHSG	-3.19608942506426	7.4354787853962E-07	-19.5878446900231
APOA2	-3.02838532127154	8.23249560107817E-07	-18.4261150709571
BHMT	-3.56276978360808	1.47549915995511E-08	-27.9002676234613
CA5A	-3.22058333837414	4.38531641439547E-06	-17.2558825172198
CCL16	-3.21802996361293	3.5738562929538E-07	-20.746198030932
CDHR5	-3.07231637926834	1.26768205146133E-07	-21.1897342957855
CTAG2	-3.07897359088353	0.000128863408149	-11.9768081926752
CYP17A1	-3.18731687018441	2.41590491252936E-05	-14.7155875241034
CYP7A1	-3.17584857016771	4.10132861622048E-05	-13.9326872371812
DKK4	-3.80110255497346	8.95462374263892E-07	-22.9888882995921
GREM2	-3.2041186009635	5.66758018456685E-07	-20.0148547080803
MAGEC2	-3.11351937166065	8.9019742732184E-05	-12.6113527616719
NR1I3	-3.20729267606233	1.48936747568453E-10	-31.5180591440388
SERPINC1	-3.0955407087046	3.64712623333643E-05	-13.7381619805196
SSX1	-3.60473955658734	1.66740035346202E-05	-17.223301811109
SULT2A1	-3.37783096516452	3.43134172213031E-07	-21.8361099743795
VSNL1	-3.00094796891362	3.51440767317499E-11	-31.3723537917682
A1BG	-2.25933596355406	0.001249862832916	-6.55916329150831
AAA1	-2.25339979576025	6.69155511297393E-07	-13.913556063619
ABCB11	-2.37337595276927	0.00093093278071	-7.19389636240896
ABCG5	-2.86151313905872	2.01829405588503E-09	-24.880901265941
ABHD1	-2.09749530749917	1.01185755033258E-08	-16.7692245914408
ACSM2A	-2.17882276684111	0.001412134509546	-6.2099149148819
ACSM2B	-2.40227632800968	0.000177249582065	-9.01193492293205
ADH4	-2.03274377275418	0.017740087799436	-3.5594242646841
ADH6	-2.03095278947776	2.39703777069441E-07	-13.445567775057
AGXT	-2.5256105479202	1.00009407365008E-05	-12.6279495589504
AGXT2L1	-2.37339524650637	0.009268776384313	-4.82505936110943
AKR1C4	-2.19182683113451	0.000174594602632	-8.23681769262662
ALDH1L1	-2.43932993495999	2.92221237135032E-05	-11.0606250009005
ALG1L	-2.31976649400064	1.78132678236218E-07	-15.656698861711
APOA1	-2.55583282294088	0.000227316698101	-9.31184120971841
APOA5	-2.26822854884729	0.000650287328145	-7.22860556069324
APOC2	-2.13986731552112	0.000158876731067	-8.12922690726607
APOC3	-2.58347510554141	0.00030579484551	-9.07980368663829
APOC4	-2.75488480762577	3.12807321517933E-05	-12.4099932044867
APOF	-2.60102929543552	0.000749776528893	-8.1283938315718
APOH	-2.41249329357766	7.55012303811754E-08	-17.1818881415284
APOM	-2.46193883900589	3.45445986799089E-09	-20.8319905455424
AQP7P1	-2.71133869762431	4.07455707443517E-06	-14.6138975734594
AQP7P3	-2.18247538647617	1.52552689078821E-05	-10.5120675862861
AQP9	-2.74917981505864	8.76765842126342E-07	-16.6521020843692
ARG1	-2.28663642650741	0.005035876919391	-5.25451876552299
ASPDH	-2.61203339714123	0.000698976094955	-8.24236979802836
AZGP1	-2.04736787419275	6.78635544597762E-06	-10.5815411816682
BHMT2	-2.13430116830388	6.04828542714269E-08	-15.4061706624236
C12orf39	-2.56209123631938	9.46329567342779E-06	-12.871837714256
C18orf2	-2.3629880639731	6.69275246384923E-05	-9.86404612024906
C1orf64	-2.44036213265586	0.002173822986826	-6.49813728659959
C21orf90	-2.04797355068443	1.8531478748059E-05	-9.69119500401151
C22orf45	-2.44508440987363	2.33492652349818E-09	-21.1053005836216
C8orf80	-2.10326503512966	3.30274880478284E-06	-11.5282574213553
CA4	-2.28409110797199	8.18850859963957E-06	-11.6187036627836
CCL14-CCL15	-2.27850966678899	3.12807321517933E-05	-10.2640551078351
CCL15	-2.29128078657846	9.60791432262715E-08	-16.078767065869
CCL25	-2.85935956309753	0.000200990763107	-10.5705487741435
CDO1	-2.58775510153402	1.11509419122978E-06	-15.4040998953091
CECR2	-2.06653164341087	1.32465753990981E-07	-14.2133905180107
CFHR2	-2.56363282829724	0.000141931922202	-9.86465381600246
CFHR5	-2.48292187572364	0.003008078913029	-6.26121084695254
CHAD	-2.49864904092949	2.13081901441561E-11	-26.6642168942658
CPN1	-2.1410662952261	8.04730698053467E-06	-10.9073398635249
CPN2	-2.38527271527218	0.00043095336766	-8.02780162725277
CPS1	-2.80670455068458	0.000189234101416	-10.4493627198544
CSAG1	-2.54680102213974	0.000216791609247	-9.3313707846272
CTAG1B	-2.66409618096365	0.000904240548069	-8.10875223062009
CTNNA2	-2.08601471592164	0.007085467869496	-4.48416287401428
CYP1A1	-2.6636407626084	0.000223770780165	-9.72281251917325
CYP2A7	-2.07519147595726	0.018500066954686	-3.59594719676375
CYP2D6	-2.66552416498841	9.81459164548947E-06	-13.349285579824
CYP2D7P1	-2.37644391825579	1.63682668949952E-06	-13.7500980996832
CYP3A43	-2.08972359650286	0.000278527607135	-7.42924271062387
CYP4F12	-2.45799118757553	1.37834848832064E-10	-24.2373685975925
CYP8B1	-2.88210039938824	4.77670201550546E-05	-12.4531864857956
DAO	-2.57327803444901	8.79951372506528E-06	-13.0093134489699
DCXR	-2.2203770771418	1.99891244539777E-10	-21.5358951752324
DDC	-2.23791264033073	1.13754444182312E-07	-15.5401361534392
DNMT3L	-2.4505953245024	4.47266654282374E-05	-10.6587013483738
DPYS	-2.08705927012941	0.003465839877406	-5.13456548818747
